Time,Voltage,Current
3.565652212034009e-05,0.259587312256107,0.5658952427614385
3.566322881094975e-05,0.25956697789192384,0.565892749289305
3.56699355015594e-05,0.25963157357795197,0.5658902566798361
3.567664219216905e-05,0.25975392881216885,0.5658877644820886
3.56833488827787e-05,0.2598348804121553,0.5658852710502321
3.569005557338835e-05,0.2598381809021477,0.56588277578267
3.569676226399801e-05,0.2598598343666767,0.5658802802728298
3.570346895460766e-05,0.2599203519475628,0.5658777848611569
3.571017564521731e-05,0.2600073001120866,0.5658752893413026
3.571688233582696e-05,0.26007530065299367,0.5658727929601244
3.57250257057347e-05,0.26009863054908156,0.565869760096312
3.573316907564245e-05,0.26013611825077243,0.5658667266613076
3.574131244555019e-05,0.2602257762544733,0.5658636932860442
3.574945581545793e-05,0.2603505152298835,0.5658606596869115
3.575759918536567e-05,0.26043814401999565,0.5658576246657546
3.576681904993576e-05,0.2604024979903632,0.5658541852254912
3.577603891450585e-05,0.26039916815175923,0.5658507452883644
3.578525877907595e-05,0.2605545295479912,0.565847306951903
3.579447864364604e-05,0.260814786781169,0.565843869323285
3.5803698508216135e-05,0.26094597401170194,0.5658404285193382
3.5812089277056405e-05,0.2607848422654353,0.5658372915756459
3.5820480045896676e-05,0.2606938304159545,0.5658341549401595
3.5828870814736946e-05,0.2608818632841787,0.5658310220805055
3.5837261583577217e-05,0.2612569018080966,0.5658278914691093
3.584565235241749e-05,0.261425943042767,0.5658247565831955
3.5852448443878116e-05,0.26128728962367953,0.5658222122859916
3.585924453533875e-05,0.2612154158160296,0.5658196685359577
3.586604062679938e-05,0.2612904358323278,0.5658171266627925
3.587283671826001e-05,0.2614653270438678,0.5658145858860609
3.5879632809720647e-05,0.26156592998072004,0.5658120433151941
3.588594701783124e-05,0.2615385208968206,0.5658096785186147
3.5892261225941826e-05,0.2615390931438828,0.565807313702086
3.589857543405242e-05,0.26158975025849474,0.5658049492324801
3.590488964216301e-05,0.2616745008416155,0.565802584844395
3.5911203850273605e-05,0.2617392585585754,0.5658002196401538
3.591856534495409e-05,0.2617607098468051,0.5657974606301259
3.5925926839634574e-05,0.261795671979403,0.5657947011860642
3.5933288334315066e-05,0.2618681517938444,0.5657919417064382
3.594064982899555e-05,0.261966062026846,0.5657891819906511
3.5948011323676035e-05,0.2620412213143677,0.5657864212390402
3.595693422716491e-05,0.2620493058431461,0.5657830726583267
3.59658571306538e-05,0.2620769851578433,0.5657797234358453
3.597478003414268e-05,0.2621946687940051,0.5657763747402426
3.598370293763156e-05,0.2623721611790617,0.5657730260703874
3.599262584112044e-05,0.26247866163233136,0.5657696752553714
3.600170687609485e-05,0.262368711398008,0.5657662604407571
3.6010787911069263e-05,0.26231226167232924,0.5657628455127255
3.6019868946043675e-05,0.2625107334510619,0.565759433814367
3.602894998101808e-05,0.2628781354599883,0.5657560239184921
3.603803101599249e-05,0.26304106415491013,0.5657526096276315
3.6045542028926515e-05,0.26285946357441325,0.5657497796269452
3.605305304186054e-05,0.2627575489345131,0.5657469502638992
3.606056405479456e-05,0.2628901669538499,0.5657441241085588
3.6068075067728584e-05,0.26318157232963735,0.5657412999037742
3.607558608066261e-05,0.2633254277376551,0.565738472565181
3.6081890207299384e-05,0.2632456221297521,0.5657360956724958
