No,L,C,fsw,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu
3887,0.000408,0.000778,76842,0.35818082073690777,34.39870460998532,5.534889383097676,5.534889383097676,0.02345114541447836,5.065106010760241
3888,0.000408,0.000778,86315,0.3484119575749871,34.32100072669076,5.762795584338695,5.762795584338695,0.020890631379550495,5.065546158443637
3889,0.000408,0.000778,95789,0.3405320597426644,34.314301224283795,5.9909578476783105,5.9909578476783105,0.01883701851659483,5.066741753501181
3890,0.000408,0.000778,105263,0.34227813133695295,34.438933500752675,6.215834402475919,6.215834402475919,0.017134173327777606,5.065097665905731
3891,0.000408,0.000778,114736,0.33622338107792227,34.42730455460282,6.443510613341038,6.443510613341038,0.015726970291107145,5.065827943964664
3892,0.000408,0.000778,124210,0.3310045240340818,34.41267796868521,6.672828372150625,6.672828372150625,0.014540899392783338,5.069110540365828
3893,0.000408,0.000778,133684,0.3330833394233863,34.47471703734779,6.897220750622937,6.897220750622937,0.013502844280892547,5.066879720783634
3894,0.000408,0.000778,143157,0.3288148854686872,34.41841286971612,7.125273501582325,7.125273501582325,0.012615773477746388,5.068308680340678
3895,0.000408,0.000778,152631,0.33064307559271333,34.52420144444627,7.3528432141682805,7.3528432141682805,0.011836741305299821,5.070565252992818
3896,0.000408,0.000778,162105,0.3270624930915935,34.48519451478778,7.579268508334671,7.579268508334671,0.011145179940415556,5.069695293665352
3897,0.000408,0.000778,171578,0.32385564303241254,34.435679688295906,7.806682960853864,7.806682960853864,0.010532775908476528,5.070246417533884
3898,0.000408,0.000778,181052,0.3257371809255593,34.48148685807993,8.031946368568084,8.031946368568084,0.009978842827769133,5.0693577705968496
3899,0.000408,0.000778,190526,0.3229157009951381,34.49265677150608,8.25889890302158,8.25889890302158,0.009484024872116912,5.069341334674298
3900,0.000408,0.000778,200000,0.3203146662109756,34.4607263184478,8.486988575260643,8.486988575260643,0.009038438982771646,5.0707092371004325
3901,0.000408,0.000506,20000,2.2374722739589887,13.003756547119139,1.5219270348578235,1.5219270348578235,0.018597879867303824,0.942114393934461
3902,0.000408,0.000506,29473,2.075336428270447,12.988431744342686,1.6038441470601126,1.6038441470601126,0.012532346446562068,0.9029260040945185
3903,0.000408,0.000506,38947,1.9810047969084106,12.977002681510703,1.695152401570935,1.695152401570935,0.009562230955353928,0.8911797612865234
3904,0.000408,0.000506,48421,1.9223084228582712,13.006170843489434,1.7851453176345355,1.7851453176345355,0.00774535212989496,0.8855342095090466
3905,0.000408,0.000506,57894,1.8901498833955122,13.03041075685741,1.8663223525390946,1.8663223525390946,0.0064609349130094395,0.876833974110015
3906,0.000408,0.000506,67368,1.8621907733475838,12.983087006565148,1.9530886410844066,1.9530886410844066,0.00557171937536348,0.874297326535927
3907,0.000408,0.000506,76842,1.8717427103028845,12.991330247096625,2.0391104130821507,2.0391104130821507,0.0048973197397889365,0.8787796044652935
3908,0.000408,0.000506,86315,1.853879339975647,13.025054023206827,2.1224704070984726,2.1224704070984726,0.004359499770485196,0.8750842877446903
3909,0.000408,0.000506,95789,1.83395410356301,12.982078713903498,2.212757539701491,2.212757539701491,0.00395283945911108,0.8764617817207249
3910,0.000408,0.000506,105263,1.8226171705045944,12.962641742706586,2.2960144881387534,2.2960144881387534,0.0035958561812616577,0.8738786530074667
3911,0.000408,0.000506,114736,1.8120087264542635,12.997502141210601,2.380648076837094,2.380648076837094,0.0033018226222309294,0.872492401497101
3912,0.000408,0.000506,124210,1.8026100759904253,12.980321860622437,2.4659245286015667,2.4659245286015667,0.0030540379051244336,0.8717576176399683
3913,0.000408,0.000506,133684,1.7972487180593477,12.94651306038829,2.547226714926243,2.547226714926243,0.0028323066385848856,0.8690652191264406
3914,0.000408,0.000506,143157,1.7907858437284276,12.990559464965221,2.6312100315618547,2.6312100315618547,0.0026456793465137823,0.8680313499895181
3915,0.000408,0.000506,152631,1.7845983122157618,12.992469214775063,2.7160824519937714,2.7160824519937714,0.0024837755982566132,0.8676020254731686
