No,L,C,fsw,t_d,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu,P_D
55,0.002,3e-05,20000,1.78e-07,10.190668841184092,0.3709408677844957,1.7446815927116759,1.7446815927116759,0.40743731664234983,2.163116124163178,0.007859721692211944
56,0.002,3e-05,20000,5.89e-07,10.190668841184092,0.3709408677844957,1.7446815927116759,1.7446815927116759,0.40743731664234983,2.163116124163178,0.026007730768049634
57,0.002,3e-05,20000,1e-06,10.190668841184092,0.3709408677844957,1.7446815927116759,1.7446815927116759,0.40743731664234983,2.163116124163178,0.04415573984388733
58,0.002,3e-05,110000,1.78e-07,1.8532917540344824,0.3130155479850241,2.6393272210286827,2.6393272210286827,0.07394588709345443,2.1582114366665563,0.0431974948071934
59,0.002,3e-05,110000,5.89e-07,1.8532917540344824,0.3130155479850241,2.6393272210286827,2.6393272210286827,0.07394588709345443,2.1582114366665563,0.14294002495189276
60,0.002,3e-05,110000,1e-06,1.8532917540344824,0.3130155479850241,2.6393272210286827,2.6393272210286827,0.07394588709345443,2.1582114366665563,0.24268255509659212
61,0.002,3e-05,200000,1.78e-07,1.0196749861755232,0.31201204679061245,3.5344256812202524,3.5344256812202524,0.04065153456076155,2.1571950276475564,0.0785231866272098
62,0.002,3e-05,200000,5.89e-07,1.0196749861755232,0.31201204679061245,3.5344256812202524,3.5344256812202524,0.04065153456076155,2.1571950276475564,0.2598323422664414
63,0.002,3e-05,200000,1e-06,1.0196749861755232,0.31201204679061245,3.5344256812202524,3.5344256812202524,0.04065153456076155,2.1571950276475564,0.44114149790567303
64,0.002,0.000115,20000,1.78e-07,11.326522361913302,2.0350506676089437,1.7649969332457658,1.7649969332457658,0.10877671701469517,2.2142352173826616,0.007951241499234315
65,0.002,0.000115,20000,5.89e-07,11.326522361913302,2.0350506676089437,1.7649969332457658,1.7649969332457658,0.10877671701469517,2.2142352173826616,0.026310568781174225
66,0.002,0.000115,20000,1e-06,11.326522361913302,2.0350506676089437,1.7649969332457658,1.7649969332457658,0.10877671701469517,2.2142352173826616,0.044669896063114126
67,0.002,0.000115,110000,1.78e-07,3.1542356936661435,2.101630417977619,2.675762078288536,2.675762078288536,0.019826488535490124,2.2183296306867177,0.043793818955538265
68,0.002,0.000115,110000,5.89e-07,3.1542356936661435,2.101630417977619,2.675762078288536,2.675762078288536,0.019826488535490124,2.2183296306867177,0.1449132548584946
69,0.002,0.000115,110000,1e-06,3.1542356936661435,2.101630417977619,2.675762078288536,2.675762078288536,0.019826488535490124,2.2183296306867177,0.24603269076145093
70,0.002,0.000115,200000,1.78e-07,2.3389596809334203,2.1050012871945705,3.583824650137825,3.583824650137825,0.01090325349546093,2.217998472652572,0.07962066746437005
71,0.002,0.000115,200000,5.89e-07,2.3389596809334203,2.1050012871945705,3.583824650137825,3.583824650137825,0.01090325349546093,2.217998472652572,0.26346389402535936
72,0.002,0.000115,200000,1e-06,2.3389596809334203,2.1050012871945705,3.583824650137825,3.583824650137825,0.01090325349546093,2.217998472652572,0.4473071205863486
73,0.002,0.0002,20000,1.78e-07,25.831663169009516,5.863472015332427,1.7222860559402742,1.7222860559402742,0.059557251313277645,2.1178276973674297,0.007758830683270116
74,0.002,0.0002,20000,5.89e-07,25.831663169009516,5.863472015332427,1.7222860559402742,1.7222860559402742,0.059557251313277645,2.1178276973674297,0.02567388355306797
75,0.002,0.0002,20000,1e-06,25.831663169009516,5.863472015332427,1.7222860559402742,1.7222860559402742,0.059557251313277645,2.1178276973674297,0.04358893642286582
76,0.002,0.0002,110000,1.78e-07,17.825789734754967,5.817058193827764,2.6111726908086634,2.6111726908086634,0.010856507042019726,2.1179454138547458,0.04273669359873081
77,0.002,0.0002,110000,5.89e-07,17.825789734754967,5.817058193827764,2.6111726908086634,2.6111726908086634,0.010856507042019726,2.1179454138547458,0.14141523893063168
78,0.002,0.0002,110000,1e-06,17.825789734754967,5.817058193827764,2.6111726908086634,2.6111726908086634,0.010856507042019726,2.1179454138547458,0.24009378426253258
79,0.002,0.0002,200000,1.78e-07,17.02631663351151,5.835444635745681,3.498078831689872,3.498078831689872,0.005972961494435445,2.1181417744569533,0.07771568048437309
80,0.002,0.0002,200000,5.89e-07,17.02631663351151,5.835444635745681,3.498078831689872,3.498078831689872,0.005972961494435445,2.1181417744569533,0.2571603135128975
81,0.002,0.0002,200000,1e-06,17.02631663351151,5.835444635745681,3.498078831689872,3.498078831689872,0.005972961494435445,2.1181417744569533,0.4366049465414218
