No,L,C,fsw,average_current
219,3e-05,7.1e-05,69655,2.3757113863757704
220,3e-05,7.1e-05,75862,2.376368331602204
221,3e-05,7.1e-05,82068,2.364009180318817
222,3e-05,7.1e-05,88275,2.367730332276978
223,3e-05,7.1e-05,94482,2.3621663052576967
224,3e-05,7.1e-05,100689,2.3646511616329966
225,3e-05,7.1e-05,106896,2.361855512465628
226,3e-05,7.1e-05,113103,2.3555411332888396
227,3e-05,7.1e-05,119310,2.364385306753553
228,3e-05,7.1e-05,125517,2.3766596548833787
229,3e-05,7.1e-05,131724,2.383152593065724
230,3e-05,7.1e-05,137931,2.3984105838801404
231,3e-05,7.1e-05,144137,2.374059637507342
232,3e-05,7.1e-05,150344,2.3934050385967485
233,3e-05,7.1e-05,156551,2.3984033415159662
234,3e-05,7.1e-05,162758,2.393553594091649
235,3e-05,7.1e-05,168965,2.3838139429141223
236,3e-05,7.1e-05,175172,2.395560593770707
237,3e-05,7.1e-05,181379,2.4014946313317362
238,3e-05,7.1e-05,187586,2.4114816932495287
239,3e-05,7.1e-05,193793,2.4006711570051795
240,3e-05,7.1e-05,200000,2.4008688370284057
241,3e-05,7.7e-05,20000,2.7325182404422836
242,3e-05,7.7e-05,26206,2.7775269221464844
243,3e-05,7.7e-05,32413,2.6707592373293836
244,3e-05,7.7e-05,38620,2.671803596520689
245,3e-05,7.7e-05,44827,2.683462174672164
246,3e-05,7.7e-05,51034,2.6553883320161327
247,3e-05,7.7e-05,57241,2.593270749887691
248,3e-05,7.7e-05,63448,2.5402876457447072
249,3e-05,7.7e-05,69655,2.3588554347755775
250,3e-05,7.7e-05,75862,2.3673525500929062
251,3e-05,7.7e-05,82068,2.529563532036252
252,3e-05,7.7e-05,88275,2.3636048479531633
253,3e-05,7.7e-05,94482,2.3658710455351097
254,3e-05,7.7e-05,100689,2.3675578708465523
255,3e-05,7.7e-05,106896,2.367096424458453
256,3e-05,7.7e-05,113103,2.359857468101685
257,3e-05,7.7e-05,119310,2.3691114007789733
258,3e-05,7.7e-05,125517,2.3642563852473817
259,3e-05,7.7e-05,131724,2.369046476034177
260,3e-05,7.7e-05,137931,2.3721090718107467
261,3e-05,7.7e-05,144137,2.3900270414714124
262,3e-05,7.7e-05,150344,2.3876121964148806
263,3e-05,7.7e-05,156551,2.3729732028946153
264,3e-05,7.7e-05,162758,2.395128955815715
265,3e-05,7.7e-05,168965,2.3951826867073027
266,3e-05,7.7e-05,175172,2.3925504945210916
267,3e-05,7.7e-05,181379,2.388937690566464
268,3e-05,7.7e-05,187586,2.403435817307487
269,3e-05,7.7e-05,193793,2.394885997590529
270,3e-05,7.7e-05,200000,2.3959933994236553
271,3e-05,8.3e-05,20000,2.7453372406176832
272,3e-05,8.3e-05,26206,2.3783314341788837
273,3e-05,8.3e-05,32413,2.7912617665260475
274,3e-05,8.3e-05,38620,2.8210440876284557
275,3e-05,8.3e-05,44827,2.815354997159653
276,3e-05,8.3e-05,51034,2.567073836991552
277,3e-05,8.3e-05,57241,2.524784646087796
278,3e-05,8.3e-05,63448,2.549110035181208
279,3e-05,8.3e-05,69655,2.572400864085727
280,3e-05,8.3e-05,75862,2.367653750438815
281,3e-05,8.3e-05,82068,2.5772216216652457
282,3e-05,8.3e-05,88275,2.5635547877313463
283,3e-05,8.3e-05,94482,2.3636147646556553
284,3e-05,8.3e-05,100689,2.36270671557493
285,3e-05,8.3e-05,106896,2.3802688329688317
286,3e-05,8.3e-05,113103,2.365402174336083
287,3e-05,8.3e-05,119310,2.355935187287721
288,3e-05,8.3e-05,125517,2.3495421417989855
289,3e-05,8.3e-05,131724,2.3589166643823587
290,3e-05,8.3e-05,137931,2.3617612872854252
291,3e-05,8.3e-05,144137,2.373650768245335
292,3e-05,8.3e-05,150344,2.3876865409459485
293,3e-05,8.3e-05,156551,2.387526520945837
294,3e-05,8.3e-05,162758,2.3835415010405225
295,3e-05,8.3e-05,168965,2.3794536500356678
296,3e-05,8.3e-05,175172,2.390588824872593
297,3e-05,8.3e-05,181379,2.386768540743941
298,3e-05,8.3e-05,187586,2.3930552430083867
299,3e-05,8.3e-05,193793,2.377037086653999
300,3e-05,8.3e-05,200000,2.388365903810762
301,3e-05,8.9e-05,20000,1.3651822647410923
302,3e-05,8.9e-05,26206,3.0089616269652355
303,3e-05,8.9e-05,32413,2.9218924385783573
304,3e-05,8.9e-05,38620,2.864751542271861
305,3e-05,8.9e-05,44827,2.7224104776272675
306,3e-05,8.9e-05,51034,2.5411840824851066
307,3e-05,8.9e-05,57241,2.3463853094605596
308,3e-05,8.9e-05,63448,2.5605465764142408
309,3e-05,8.9e-05,69655,2.5794614491795245
310,3e-05,8.9e-05,75862,2.59044651021173
311,3e-05,8.9e-05,82068,2.585385363381098
312,3e-05,8.9e-05,88275,2.5682157270871757
313,3e-05,8.9e-05,94482,2.565815423020674
314,3e-05,8.9e-05,100689,2.5594060886131786
315,3e-05,8.9e-05,106896,2.56330118699496
316,3e-05,8.9e-05,113103,2.3721167773705156
317,3e-05,8.9e-05,119310,2.355705218424557
318,3e-05,8.9e-05,125517,2.3498728742467394
319,3e-05,8.9e-05,131724,2.350418478264629
320,3e-05,8.9e-05,137931,2.3581730624739343
321,3e-05,8.9e-05,144137,2.363312851371776
322,3e-05,8.9e-05,150344,2.3618495462183375
323,3e-05,8.9e-05,156551,2.372537185778197
324,3e-05,8.9e-05,162758,2.379840388309975
325,3e-05,8.9e-05,168965,2.383426708190777
326,3e-05,8.9e-05,175172,2.380688425936585
