Combination,Capacitance,Total Volume
"parallel:[47.0] and series:[100.0, 220.0, 680.0, 820.0]",105.0,1046.62
"parallel:[47.0] and series:[100.0, 220.0, 680.0, 1000.0]",106.0,1046.62
"parallel:[47.0] and series:[100.0, 220.0, 820.0, 1000.0]",107.0,1125.16
"parallel:[47.0] and series:[100.0, 330.0, 470.0, 680.0]",107.0,949.23
"parallel:[47.0] and series:[100.0, 330.0, 470.0, 820.0]",108.0,1027.77
"parallel:[47.0] and series:[100.0, 330.0, 470.0, 1000.0]",109.0,1027.77
"parallel:[47.0] and series:[100.0, 330.0, 680.0, 820.0]",111.0,1090.6
"parallel:[47.0] and series:[100.0, 330.0, 680.0, 1000.0]",112.0,1090.6
"parallel:[47.0] and series:[100.0, 330.0, 820.0, 1000.0]",113.0,1169.14
"parallel:[47.0] and series:[100.0, 470.0, 680.0, 820.0]",114.0,1153.43
"parallel:[47.0] and series:[100.0, 470.0, 680.0, 1000.0]",116.0,1153.43
"parallel:[47.0] and series:[100.0, 470.0, 820.0, 1000.0]",117.0,1231.97
"parallel:[47.0] and series:[100.0, 680.0, 820.0, 1000.0]",120.0,1294.8
"parallel:[47.0] and series:[220.0, 330.0, 470.0, 680.0]",136.0,984.89
"parallel:[47.0] and series:[220.0, 330.0, 470.0, 820.0]",139.0,1063.43
"parallel:[47.0] and series:[220.0, 330.0, 470.0, 1000.0]",140.0,1063.43
"parallel:[47.0] and series:[220.0, 330.0, 680.0, 820.0]",144.0,1126.26
"parallel:[47.0] and series:[220.0, 330.0, 680.0, 1000.0]",147.0,1126.26
"parallel:[47.0] and series:[220.0, 330.0, 820.0, 1000.0]",149.0,1204.8
"parallel:[47.0] and series:[220.0, 470.0, 680.0, 820.0]",154.0,1189.09
"parallel:[47.0] and series:[220.0, 470.0, 680.0, 1000.0]",156.0,1189.09
"parallel:[47.0] and series:[220.0, 470.0, 820.0, 1000.0]",159.0,1267.63
"parallel:[47.0] and series:[220.0, 680.0, 820.0, 1000.0]",168.0,1330.46
"parallel:[47.0] and series:[330.0, 470.0, 680.0, 820.0]",174.0,1233.07
"parallel:[47.0] and series:[330.0, 470.0, 680.0, 1000.0]",178.0,1233.07
"parallel:[47.0] and series:[330.0, 470.0, 820.0, 1000.0]",183.0,1311.61
"parallel:[47.0] and series:[330.0, 680.0, 820.0, 1000.0]",196.0,1374.44
"parallel:[47.0] and series:[470.0, 680.0, 820.0, 1000.0]",219.0,1437.27
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 330.0, 470.0]",71.0,865.98
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 330.0, 680.0]",72.0,928.81
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 330.0, 820.0]",72.0,1007.35
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 330.0, 1000.0]",72.0,1007.35
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 470.0, 680.0]",72.0,991.64
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 470.0, 820.0]",73.0,1070.18
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 470.0, 1000.0]",73.0,1070.18
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 680.0, 820.0]",73.0,1133.01
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 680.0, 1000.0]",73.0,1133.01
"parallel:[47.0] and series:[47.0, 100.0, 220.0, 820.0, 1000.0]",73.0,1211.55
"parallel:[47.0] and series:[47.0, 100.0, 330.0, 470.0, 680.0]",73.0,1035.62
