Combination,Capacitance,Total Volume
"parallel:[4.7e-05] and series:[0.0001, 0.0022, 0.00068, 0.00082, 0.001]",0.000117698,7.126e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.00047, 0.00068, 0.00082]",0.000103028,5.852e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.00047, 0.00068, 0.001]",0.000103726,6.343e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.00047, 0.00082, 0.001]",0.000104546,6.736e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.00068, 0.00082, 0.001]",0.000106807,7.302e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00047, 0.00068, 0.00082, 0.001]",0.00011022,7.553e-06
"parallel:[4.7e-05] and series:[0.0022, 0.00033, 0.00047, 0.00068, 0.00082]",0.000167444,6.088e-06
"parallel:[4.7e-05] and series:[0.0022, 0.00033, 0.00047, 0.00068, 0.001]",0.000170715,6.579e-06
"parallel:[4.7e-05] and series:[0.0022, 0.00033, 0.00047, 0.00082, 0.001]",0.000174681,6.971e-06
"parallel:[4.7e-05] and series:[0.0022, 0.00033, 0.00068, 0.00082, 0.001]",0.000186374,7.537e-06
"parallel:[4.7e-05] and series:[0.0022, 0.00047, 0.00068, 0.00082, 0.001]",0.000206431,7.788e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00047, 0.00068, 0.00082, 0.001]",0.000160019,7.964e-06
parallel:[0.0001] and series:[4.7e-05],0.000147,5.59e-07
parallel:[0.0001] and series:[0.0001],0.0002,6.86e-07
parallel:[0.0001] and series:[0.00033],0.00043,1.097e-06
parallel:[0.0001] and series:[0.00047],0.00057,1.348e-06
parallel:[0.0001] and series:[0.00068],0.00078,1.914e-06
parallel:[0.0001] and series:[0.00082],0.00092,2.306e-06
"parallel:[0.0001] and series:[4.7e-05, 0.0001]",0.000131973,9.02e-07
"parallel:[0.0001] and series:[4.7e-05, 0.0022]",0.000146017,1.137e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00033]",0.000141141,1.313e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00047]",0.000142727,1.564e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00068]",0.000143961,2.13e-06
"parallel:[0.0001] and series:[4.7e-05, 0.00082]",0.000144452,2.522e-06
"parallel:[0.0001] and series:[4.7e-05, 0.001]",0.00014489,3.013e-06
"parallel:[0.0001] and series:[0.0001, 0.0022]",0.000195652,1.264e-06
"parallel:[0.0001] and series:[0.0001, 0.00033]",0.000176744,1.44e-06
"parallel:[0.0001] and series:[0.0001, 0.00047]",0.000182456,1.691e-06
"parallel:[0.0001] and series:[0.0001, 0.00068]",0.000187179,2.257e-06
