Combination,Cap(uF),Total_Volume(mm^2)
47.0 and 47.0 + 100.0 + 680.0 + 820.0 + 1000.0,75.598641261,6763.526969932
47.0 and 47.0 + 220.0 + 330.0 + 470.0 + 680.0,77.816070124,4340.110250934
47.0 and 47.0 + 220.0 + 330.0 + 470.0 + 820.0,78.056358664,4732.809332633
47.0 and 47.0 + 220.0 + 330.0 + 470.0 + 1000.0,78.269530856,5223.683184756
47.0 and 47.0 + 220.0 + 330.0 + 680.0 + 820.0,78.703303995,5298.296010279
47.0 and 47.0 + 220.0 + 330.0 + 680.0 + 1000.0,78.925481782,5789.169862403
47.0 and 47.0 + 220.0 + 330.0 + 820.0 + 1000.0,79.183455464,6181.868944101
47.0 and 47.0 + 220.0 + 470.0 + 680.0 + 820.0,79.637277789,5549.623422566
47.0 and 47.0 + 220.0 + 470.0 + 680.0 + 1000.0,79.87278766,6040.49727469
47.0 and 47.0 + 220.0 + 470.0 + 820.0 + 1000.0,80.14636347,6433.196356389
47.0 and 47.0 + 220.0 + 680.0 + 820.0 + 1000.0,80.8843485,6998.683034035
47.0 and 47.0 + 330.0 + 470.0 + 680.0 + 820.0,81.335166209,5725.552611167
47.0 and 47.0 + 330.0 + 470.0 + 680.0 + 1000.0,81.595915197,6216.426463291
47.0 and 47.0 + 330.0 + 470.0 + 820.0 + 1000.0,81.899055562,6609.12554499
47.0 and 47.0 + 330.0 + 680.0 + 820.0 + 1000.0,82.718113669,7174.612222636
47.0 and 47.0 + 470.0 + 680.0 + 820.0 + 1000.0,83.908056026,7425.939634923
47.0 and 100.0 + 220.0 + 330.0 + 470.0 + 680.0,94.227720112,4467.022740158
47.0 and 100.0 + 220.0 + 330.0 + 470.0 + 820.0,94.794454758,4859.721821856
47.0 and 100.0 + 220.0 + 330.0 + 470.0 + 1000.0,95.301205194,5350.59567398
47.0 and 100.0 + 220.0 + 330.0 + 680.0 + 820.0,96.344074142,5425.208499503
47.0 and 100.0 + 220.0 + 330.0 + 680.0 + 1000.0,96.884403343,5916.082351626
47.0 and 100.0 + 220.0 + 330.0 + 820.0 + 1000.0,97.517119068,6308.781433325
47.0 and 100.0 + 220.0 + 470.0 + 680.0 + 820.0,98.644317497,5676.53591179
47.0 and 100.0 + 220.0 + 470.0 + 680.0 + 1000.0,99.236499578,6167.409763913
47.0 and 100.0 + 220.0 + 470.0 + 820.0 + 1000.0,99.930703404,6560.108845612
47.0 and 100.0 + 220.0 + 680.0 + 820.0 + 1000.0,101.837925214,7125.595523258
47.0 and 100.0 + 330.0 + 470.0 + 680.0 + 820.0,103.028488807,5852.465100391
47.0 and 100.0 + 330.0 + 470.0 + 680.0 + 1000.0,103.726160254,6343.338952514
47.0 and 100.0 + 330.0 + 470.0 + 820.0 + 1000.0,104.545760331,6736.038034213
47.0 and 100.0 + 330.0 + 680.0 + 820.0 + 1000.0,106.807169268,7301.524711859
47.0 and 100.0 + 470.0 + 680.0 + 820.0 + 1000.0,110.220076654,7552.852124146
47.0 and 220.0 + 330.0 + 470.0 + 680.0 + 820.0,127.687342677,6087.621164494
47.0 and 220.0 + 330.0 + 470.0 + 680.0 + 1000.0,129.142234074,6578.495016617
47.0 and 220.0 + 330.0 + 470.0 + 820.0 + 1000.0,130.872005867,6971.194098316
47.0 and 220.0 + 330.0 + 680.0 + 820.0 + 1000.0,135.763767434,7536.680775962
47.0 and 220.0 + 470.0 + 680.0 + 820.0 + 1000.0,143.495155547,7788.008188249
47.0 and 330.0 + 470.0 + 680.0 + 820.0 + 1000.0,160.019086327,7963.93737685
100.0 and 47.0,147.0,558.881479092
100.0 and 100.0,200.0,685.793968315
100.0 and 220.0,320.0,920.950032418
100.0 and 330.0,430.0,1096.879221019
100.0 and 470.0,570.0,1348.206633306
100.0 and 680.0,780.0,1913.693310953
100.0 and 820.0,920.0,2306.392392651
100.0 and 47.0 + 100.0,131.972789116,901.77846325
100.0 and 47.0 + 220.0,138.72659176,1136.934527353
100.0 and 47.0 + 330.0,141.140583554,1312.863715954
100.0 and 47.0 + 470.0,142.727272727,1564.191128241
100.0 and 47.0 + 680.0,143.961485557,2129.677805887
100.0 and 47.0 + 820.0,144.452133795,2522.376887586
100.0 and 47.0 + 1000.0,144.890162369,3013.250739709
100.0 and 100.0 + 220.0,168.75,1263.847016576
100.0 and 100.0 + 330.0,176.744186047,1439.776205177
100.0 and 100.0 + 470.0,182.456140351,1691.103617464
100.0 and 100.0 + 680.0,187.179487179,2256.59029511
100.0 and 100.0 + 820.0,189.130434783,2649.289376809
100.0 and 100.0 + 1000.0,190.909090909,3140.163228932
100.0 and 220.0 + 330.0,232.0,1674.93226928
100.0 and 220.0 + 470.0,249.855072464,1926.259681567
100.0 and 220.0 + 680.0,266.222222222,2491.746359213
100.0 and 220.0 + 820.0,273.461538462,2884.445440912
