Combination,Cap(uF),Total_Volume(mm^2)
47.0 and 47.0 + 100.0 + 330.0 + 470.0,74.446469651,2534.157860037
47.0 and 47.0 + 100.0 + 330.0 + 680.0,74.950537714,3099.644537683
47.0 and 47.0 + 100.0 + 330.0 + 820.0,75.148072735,3492.343619381
47.0 and 47.0 + 100.0 + 330.0 + 1000.0,75.323076642,3983.217471505
47.0 and 47.0 + 100.0 + 330.0 + 1500.0,75.593024113,4596.809786659
47.0 and 47.0 + 100.0 + 330.0 + 1800.0,75.684153747,5210.402101813
47.0 and 47.0 + 100.0 + 330.0 + 2200.0,75.767504405,5823.994416968
47.0 and 47.0 + 100.0 + 330.0 + 2700.0,75.837334215,6555.396456632
47.0 and 47.0 + 100.0 + 470.0 + 680.0,75.673963754,3350.97194997
47.0 and 47.0 + 100.0 + 470.0 + 820.0,75.881894484,3743.671031669
47.0 and 47.0 + 100.0 + 470.0 + 1000.0,76.066171923,4234.544883792
47.0 and 47.0 + 100.0 + 470.0 + 1500.0,76.350541216,4848.137198946
47.0 and 47.0 + 100.0 + 470.0 + 1800.0,76.446571528,5461.729514101
47.0 and 47.0 + 100.0 + 470.0 + 2200.0,76.534418738,6075.321829255
47.0 and 47.0 + 100.0 + 470.0 + 2700.0,76.608026132,6806.723868919
47.0 and 47.0 + 100.0 + 680.0 + 820.0,76.44060249,4309.157709315
47.0 and 47.0 + 100.0 + 680.0 + 1000.0,76.632102062,4800.031561438
47.0 and 47.0 + 100.0 + 680.0 + 1500.0,76.927709038,5413.623876592
47.0 and 47.0 + 100.0 + 680.0 + 1800.0,77.027559713,6027.216191747
47.0 and 47.0 + 100.0 + 680.0 + 2200.0,77.118912991,6640.808506901
47.0 and 47.0 + 100.0 + 680.0 + 2700.0,77.195466411,7372.210546565
47.0 and 47.0 + 100.0 + 820.0 + 1000.0,76.854214758,5192.730643137
47.0 and 47.0 + 100.0 + 820.0 + 1500.0,77.154292331,5806.322958291
47.0 and 47.0 + 100.0 + 820.0 + 1800.0,77.255663233,6419.915273445
47.0 and 47.0 + 100.0 + 820.0 + 2200.0,77.348411852,7033.5075886
47.0 and 47.0 + 100.0 + 820.0 + 2700.0,77.426137859,7764.909628264
47.0 and 47.0 + 100.0 + 1000.0 + 1500.0,77.355220667,6297.196810415
47.0 and 47.0 + 100.0 + 1000.0 + 1800.0,77.457949309,6910.789125569
47.0 and 47.0 + 100.0 + 1000.0 + 2200.0,77.551944215,7524.381440723
47.0 and 47.0 + 100.0 + 1000.0 + 2700.0,77.630717613,8255.783480387
47.0 and 47.0 + 100.0 + 1500.0 + 1800.0,77.770349895,7524.381440723
47.0 and 47.0 + 100.0 + 1500.0 + 2200.0,77.866285896,8137.973755877
47.0 and 47.0 + 100.0 + 1500.0 + 2700.0,77.946690728,8869.375795541
47.0 and 47.0 + 100.0 + 1800.0 + 2200.0,77.97250882,8751.566071032
47.0 and 47.0 + 100.0 + 1800.0 + 2700.0,78.053468739,9482.968110695
47.0 and 47.0 + 100.0 + 2200.0 + 2700.0,78.151181085,10096.56042585
47.0 and 47.0 + 220.0 + 330.0 + 470.0,79.278876171,2769.313924139
