L,C,fsw,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu
3e-05,7.473684210526316e-05,67368.42105263157,1.850312303444356,7.788266094286363,2.375647874054549,2.375647874054549,0.0630658071869702,0.5726826578123267
3e-05,7.473684210526316e-05,76842.1052631579,1.6190553913792152,7.75967077290616,2.4811276947666645,2.4811276947666645,0.0539782797228892,0.5447938818578372
3e-05,7.473684210526316e-05,86315.7894736842,1.4438125183631227,7.7306347846896575,2.5778008392495098,2.5778008392495098,0.0469865203298729,0.5229062944818238
3e-05,7.473684210526316e-05,95789.47368421052,1.2961910218699646,7.723581482215419,2.6888421296840064,2.6888421296840064,0.0420407279778028,0.5116502345660546
3e-05,7.473684210526316e-05,105263.15789473684,1.188816297363255,7.737976110066767,2.7686142820542505,2.7686142820542505,0.0373011606837974,0.493882990349699
3e-05,7.473684210526316e-05,114736.84210526316,1.0910848865546958,7.7335714011238785,2.868334233255159,2.868334233255159,0.0339200835717402,0.4853389670830238
3e-05,7.473684210526316e-05,124210.52631578948,1.0054377393603522,7.724329352362551,2.976393167424812,2.976393167424812,0.0312812789371041,0.4811118576881344
3e-05,7.473684210526316e-05,133684.2105263158,0.9293388368872058,7.709797655102454,3.093636804756608,3.093636804756608,0.0292135765669469,0.480721456105739
3e-05,7.473684210526316e-05,143157.89473684208,0.8624266955314348,7.745186419910814,3.215473115865005,3.215473115865005,0.0275061364810369,0.4823307558340942
3e-05,7.473684210526316e-05,152631.5789473684,0.8123830805118665,7.75168938000599,3.3037151168749714,3.3037151168749714,0.0255034539241501,0.475158144166991
3e-05,7.473684210526316e-05,162105.26315789472,0.7588849729516991,7.756544326505897,3.432804466421561,3.432804466421561,0.0243241672430646,0.479628261366909
3e-05,7.473684210526316e-05,171578.94736842104,0.718457702990357,7.745034087728239,3.5285374545466683,3.5285374545466683,0.0228417268053587,0.4755218168723826
3e-05,7.473684210526316e-05,181052.63157894736,0.6798270024142855,7.711478659819808,3.6368030077715514,3.6368030077715514,0.0216734076840529,0.4750229310720772
3e-05,7.473684210526316e-05,190526.31578947368,0.6456454829616172,7.717253293277674,3.741891416631612,3.741891416631612,0.0205892264427453,0.4739559733648621
3e-05,7.473684210526316e-05,200000.0,0.6146629327624642,7.725636193313257,3.847479291920135,3.847479291920135,0.0196159479120985,0.4732116180010572
3e-05,8.368421052631579e-05,20000.0,9.717890894801132,8.420422736569243,1.217378453142942,1.217378453142942,0.320705042219097,1.6750521554939706
3e-05,8.368421052631579e-05,29473.684210526317,3.739713960366944,7.46125294437707,2.244614150365735,2.244614150365735,0.2255858073665557,1.251238310559175
