Combination,Cap(uF),Vol(mm^3)
47.0 + 100.0 + 220.0 + 330.0 + 1000.0,2.509e-05,4345.286024831088
47.0 + 100.0 + 220.0 + 470.0 + 680.0,2.537e-05,3713.040503296143
47.0 + 100.0 + 220.0 + 470.0 + 820.0,2.553e-05,4105.739584994866
47.0 + 100.0 + 220.0 + 470.0 + 1000.0,2.567e-05,4596.6134371182725
47.0 + 100.0 + 220.0 + 680.0 + 820.0,2.597e-05,4671.226262641029
47.0 + 100.0 + 220.0 + 680.0 + 1000.0,2.611e-05,5162.100114764435
47.0 + 100.0 + 220.0 + 820.0 + 1000.0,2.629e-05,5554.799196463159
47.0 + 100.0 + 330.0 + 470.0 + 680.0,2.638e-05,3888.969691897171
47.0 + 100.0 + 330.0 + 470.0 + 820.0,2.656e-05,4281.668773595895
47.0 + 100.0 + 330.0 + 470.0 + 1000.0,2.671e-05,4772.5426257193
47.0 + 100.0 + 330.0 + 680.0 + 820.0,2.703e-05,4847.155451242058
47.0 + 100.0 + 330.0 + 680.0 + 1000.0,2.719e-05,5338.029303365463
47.0 + 100.0 + 330.0 + 820.0 + 1000.0,2.738e-05,5730.728385064187
47.0 + 100.0 + 470.0 + 680.0 + 820.0,2.771e-05,5098.4828635292415
47.0 + 100.0 + 470.0 + 680.0 + 1000.0,2.787e-05,5589.356715652647
47.0 + 100.0 + 470.0 + 820.0 + 1000.0,2.807e-05,5982.055797351371
47.0 + 100.0 + 680.0 + 820.0 + 1000.0,2.860e-05,6547.542474997534
47.0 + 220.0 + 330.0 + 470.0 + 680.0,3.082e-05,4124.125756000001
47.0 + 220.0 + 330.0 + 470.0 + 820.0,3.106e-05,4516.824837698725
47.0 + 220.0 + 330.0 + 470.0 + 1000.0,3.127e-05,5007.69868982213
47.0 + 220.0 + 330.0 + 680.0 + 820.0,3.170e-05,5082.311515344888
47.0 + 220.0 + 330.0 + 680.0 + 1000.0,3.193e-05,5573.185367468293
47.0 + 220.0 + 330.0 + 820.0 + 1000.0,3.218e-05,5965.884449167017
47.0 + 220.0 + 470.0 + 680.0 + 820.0,3.264e-05,5333.638927632072
47.0 + 220.0 + 470.0 + 680.0 + 1000.0,3.287e-05,5824.512779755477
47.0 + 220.0 + 470.0 + 820.0 + 1000.0,3.315e-05,6217.211861454201
47.0 + 220.0 + 680.0 + 820.0 + 1000.0,3.388e-05,6782.698539100364
