Part_Number,OD(mm),ID(mm),Ht(mm),AL_Value(nH/T^2),N,L(uH),Vol(mm^3)
T141-75-260,35.9,22.4,10.5,75.0,61,2.791e-04,6490.550057270598
T141-75-261,35.9,22.4,10.5,75.0,62,2.883e-04,6490.550057270598
T141-75-262,35.9,22.4,10.5,75.0,63,2.977e-04,6490.550057270598
T141-75-263,35.9,22.4,10.5,75.0,64,3.072e-04,6490.550057270598
T141-75-264,35.9,22.4,10.5,75.0,65,3.169e-04,6490.550057270598
T141-75-265,35.9,22.4,10.5,75.0,66,3.267e-04,6490.550057270598
T141-75-266,35.9,22.4,10.5,75.0,67,3.367e-04,6490.550057270598
T141-75-267,35.9,22.4,10.5,75.0,68,3.468e-04,6490.550057270598
T141-75-268,35.9,22.4,10.5,75.0,69,3.571e-04,6490.550057270598
T141-75-269,35.9,22.4,10.5,75.0,70,3.675e-04,6490.550057270598
T141-75-270,35.9,22.4,10.5,75.0,71,3.781e-04,6490.550057270598
T141-75-271,35.9,22.4,10.5,75.0,72,3.888e-04,6490.550057270598
T141-75-272,35.9,22.4,10.5,75.0,73,3.997e-04,6490.550057270598
T141-75-273,35.9,22.4,10.5,75.0,74,4.107e-04,6490.550057270598
T141-75-274,35.9,22.4,10.5,75.0,75,4.219e-04,6490.550057270598
T141-75-275,35.9,22.4,10.5,75.0,76,4.332e-04,6490.550057270598
T141-75-276,35.9,22.4,10.5,75.0,77,4.447e-04,6490.550057270598
T141-75-277,35.9,22.4,10.5,75.0,78,4.563e-04,6490.550057270598
T141-75-278,35.9,22.4,10.5,75.0,79,4.681e-04,6490.550057270598
T141-75-279,35.9,22.4,10.5,75.0,80,4.800e-04,6490.550057270598
T141-75-280,35.9,22.4,10.5,75.0,81,4.921e-04,6490.550057270598
T141-75-281,35.9,22.4,10.5,75.0,82,5.043e-04,6490.550057270598
T141-75-282,35.9,22.4,10.5,75.0,83,5.167e-04,6490.550057270598
T141-75-283,35.9,22.4,10.5,75.0,84,5.292e-04,6490.550057270598
T141-75-284,35.9,22.4,10.5,75.0,85,5.419e-04,6490.550057270598
T141-75-285,35.9,22.4,10.5,75.0,86,5.547e-04,6490.550057270598
T141-75-286,35.9,22.4,10.5,75.0,87,5.677e-04,6490.550057270598
T141-75-287,35.9,22.4,10.5,75.0,88,5.808e-04,6490.550057270598
T141-75-288,35.9,22.4,10.5,75.0,89,5.941e-04,6490.550057270598
T141-75-289,35.9,22.4,10.5,75.0,90,6.075e-04,6490.550057270598
T141-75-290,35.9,22.4,10.5,75.0,91,6.211e-04,6490.550057270598
T141-75-291,35.9,22.4,10.5,75.0,92,6.348e-04,6490.550057270598
T141-75-292,35.9,22.4,10.5,75.0,93,6.487e-04,6490.550057270598
T141-75-293,35.9,22.4,10.5,75.0,94,6.627e-04,6490.550057270598
T141-75-294,35.9,22.4,10.5,75.0,95,6.769e-04,6490.550057270598
T141-75-295,35.9,22.4,10.5,75.0,96,6.912e-04,6490.550057270598
T141-75-296,35.9,22.4,10.5,75.0,97,7.057e-04,6490.550057270598
T141-75-297,35.9,22.4,10.5,75.0,98,7.203e-04,6490.550057270598
T141-75-298,35.9,22.4,10.5,75.0,99,7.351e-04,6490.550057270598
T141-75-299,35.9,22.4,10.5,75.0,100,7.500e-04,6490.550057270598
T141-75-300,35.9,22.4,10.5,75.0,101,7.651e-04,6490.550057270598
T141-75-301,35.9,22.4,10.5,75.0,102,7.803e-04,6490.550057270598
T141-75-302,35.9,22.4,10.5,75.0,103,7.957e-04,6490.550057270598
T141-75-303,35.9,22.4,10.5,75.0,104,8.112e-04,6490.550057270598
T141-75-304,35.9,22.4,10.5,75.0,105,8.269e-04,6490.550057270598
T141-75-305,35.9,22.4,10.5,75.0,106,8.427e-04,6490.550057270598
T141-75-306,35.9,22.4,10.5,75.0,107,8.587e-04,6490.550057270598
T141-75-307,35.9,22.4,10.5,75.0,108,8.748e-04,6490.550057270598
T141-75-308,35.9,22.4,10.5,75.0,109,8.911e-04,6490.550057270598
T141-75-309,35.9,22.4,10.5,75.0,110,9.075e-04,6490.550057270598
T141-75-310,35.9,22.4,10.5,75.0,111,9.241e-04,6490.550057270598
T141-75-311,35.9,22.4,10.5,75.0,112,9.408e-04,6490.550057270598
T141-75-312,35.9,22.4,10.5,75.0,113,9.577e-04,6490.550057270598
T141-75-313,35.9,22.4,10.5,75.0,114,9.747e-04,6490.550057270598
T141-75-314,35.9,22.4,10.5,75.0,115,9.919e-04,6490.550057270598
T141-75-315,35.9,22.4,10.5,75.0,116,1.009e-03,6490.550057270598
T141-75-316,35.9,22.4,10.5,75.0,117,1.027e-03,6490.550057270598
T141-75-317,35.9,22.4,10.5,75.0,118,1.044e-03,6490.550057270598
T141-75-318,35.9,22.4,10.5,75.0,119,1.062e-03,6490.550057270598
T141-75-319,35.9,22.4,10.5,75.0,120,1.080e-03,6490.550057270598
T141-75-320,35.9,22.4,10.5,75.0,121,1.098e-03,6490.550057270598
T141-75-321,35.9,22.4,10.5,75.0,122,1.116e-03,6490.550057270598
T141-75-322,35.9,22.4,10.5,75.0,123,1.135e-03,6490.550057270598
T141-75-323,35.9,22.4,10.5,75.0,124,1.153e-03,6490.550057270598
T141-75-324,35.9,22.4,10.5,75.0,125,1.172e-03,6490.550057270598
T141-75-325,35.9,22.4,10.5,75.0,126,1.191e-03,6490.550057270598
T141-75-326,35.9,22.4,10.5,75.0,127,1.210e-03,6490.550057270598
T141-75-327,35.9,22.4,10.5,75.0,128,1.229e-03,6490.550057270598
T141-75-328,35.9,22.4,10.5,75.0,129,1.248e-03,6490.550057270598
T141-75-329,35.9,22.4,10.5,75.0,130,1.267e-03,6490.550057270598
T141-75-330,35.9,22.4,10.5,75.0,131,1.287e-03,6490.550057270598
T141-75-331,35.9,22.4,10.5,75.0,132,1.307e-03,6490.550057270598
T141-75-332,35.9,22.4,10.5,75.0,133,1.327e-03,6490.550057270598
T141-75-333,35.9,22.4,10.5,75.0,134,1.347e-03,6490.550057270598
T141-75-334,35.9,22.4,10.5,75.0,135,1.367e-03,6490.550057270598
T141-75-335,35.9,22.4,10.5,75.0,136,1.387e-03,6490.550057270598
T141-75-336,35.9,22.4,10.5,75.0,137,1.408e-03,6490.550057270598
T141-75-337,35.9,22.4,10.5,75.0,138,1.428e-03,6490.550057270598
T141-75-338,35.9,22.4,10.5,75.0,139,1.449e-03,6490.550057270598
T141-75-339,35.9,22.4,10.5,75.0,140,1.470e-03,6490.550057270598
T141-75-340,35.9,22.4,10.5,75.0,141,1.491e-03,6490.550057270598
T141-75-341,35.9,22.4,10.5,75.0,142,1.512e-03,6490.550057270598
T141-75-342,35.9,22.4,10.5,75.0,143,1.534e-03,6490.550057270598
T141-75-343,35.9,22.4,10.5,75.0,144,1.555e-03,6490.550057270598
T141-75-344,35.9,22.4,10.5,75.0,145,1.577e-03,6490.550057270598
T141-75-345,35.9,22.4,10.5,75.0,146,1.599e-03,6490.550057270598
T141-75-346,35.9,22.4,10.5,75.0,147,1.621e-03,6490.550057270598
T141-75-347,35.9,22.4,10.5,75.0,148,1.643e-03,6490.550057270598
T141-75-348,35.9,22.4,10.5,75.0,149,1.665e-03,6490.550057270598
T141-75-349,35.9,22.4,10.5,75.0,150,1.687e-03,6490.550057270598
T141-75-350,35.9,22.4,10.5,75.0,151,1.710e-03,6490.550057270598
T141-75-351,35.9,22.4,10.5,75.0,152,1.733e-03,6490.550057270598
T141-75-352,35.9,22.4,10.5,75.0,153,1.756e-03,6490.550057270598
T141-75-353,35.9,22.4,10.5,75.0,154,1.779e-03,6490.550057270598
T141-75-354,35.9,22.4,10.5,75.0,155,1.802e-03,6490.550057270598
T141-75-355,35.9,22.4,10.5,75.0,156,1.825e-03,6490.550057270598
T141-75-356,35.9,22.4,10.5,75.0,157,1.849e-03,6490.550057270598
T141-75-357,35.9,22.4,10.5,75.0,158,1.872e-03,6490.550057270598
T141-75-358,35.9,22.4,10.5,75.0,159,1.896e-03,6490.550057270598
T141-75-359,35.9,22.4,10.5,75.0,160,1.920e-03,6490.550057270598
T141-75-360,35.9,22.4,10.5,75.0,161,1.944e-03,6490.550057270598
T141-75-361,35.9,22.4,10.5,75.0,162,1.968e-03,6490.550057270598
T141-75-362,35.9,22.4,10.5,75.0,163,1.993e-03,6490.550057270598
T250-75-211,63.5,31.8,25.4,242.0,12,3.485e-05,60266.47092237527
T250-75-212,63.5,31.8,25.4,242.0,13,4.090e-05,60266.47092237527
T250-75-213,63.5,31.8,25.4,242.0,14,4.743e-05,60266.47092237527
T250-75-214,63.5,31.8,25.4,242.0,15,5.445e-05,60266.47092237527
T250-75-215,63.5,31.8,25.4,242.0,16,6.195e-05,60266.47092237527
T250-75-216,63.5,31.8,25.4,242.0,17,6.994e-05,60266.47092237527
T250-75-217,63.5,31.8,25.4,242.0,18,7.841e-05,60266.47092237527
T250-75-218,63.5,31.8,25.4,242.0,19,8.736e-05,60266.47092237527
T250-75-219,63.5,31.8,25.4,242.0,20,9.680e-05,60266.47092237527
T250-75-220,63.5,31.8,25.4,242.0,21,1.067e-04,60266.47092237527
T250-75-221,63.5,31.8,25.4,242.0,22,1.171e-04,60266.47092237527
T250-75-222,63.5,31.8,25.4,242.0,23,1.280e-04,60266.47092237527
T250-75-223,63.5,31.8,25.4,242.0,24,1.394e-04,60266.47092237527
T250-75-224,63.5,31.8,25.4,242.0,25,1.512e-04,60266.47092237527
T250-75-225,63.5,31.8,25.4,242.0,26,1.636e-04,60266.47092237527
T250-75-226,63.5,31.8,25.4,242.0,27,1.764e-04,60266.47092237527
T250-75-227,63.5,31.8,25.4,242.0,28,1.897e-04,60266.47092237527
T250-75-228,63.5,31.8,25.4,242.0,29,2.035e-04,60266.47092237527
T250-75-229,63.5,31.8,25.4,242.0,30,2.178e-04,60266.47092237527
T250-75-230,63.5,31.8,25.4,242.0,31,2.326e-04,60266.47092237527
T250-75-231,63.5,31.8,25.4,242.0,32,2.478e-04,60266.47092237527
T250-75-232,63.5,31.8,25.4,242.0,33,2.635e-04,60266.47092237527
T250-75-233,63.5,31.8,25.4,242.0,34,2.798e-04,60266.47092237527
T250-75-234,63.5,31.8,25.4,242.0,35,2.964e-04,60266.47092237527
T250-75-235,63.5,31.8,25.4,242.0,36,3.136e-04,60266.47092237527
T250-75-236,63.5,31.8,25.4,242.0,37,3.313e-04,60266.47092237527
T250-75-237,63.5,31.8,25.4,242.0,38,3.494e-04,60266.47092237527
T250-75-238,63.5,31.8,25.4,242.0,39,3.681e-04,60266.47092237527
T250-75-239,63.5,31.8,25.4,242.0,40,3.872e-04,60266.47092237527
T250-75-240,63.5,31.8,25.4,242.0,41,4.068e-04,60266.47092237527
T250-75-241,63.5,31.8,25.4,242.0,42,4.269e-04,60266.47092237527
T250-75-242,63.5,31.8,25.4,242.0,43,4.475e-04,60266.47092237527
T250-75-243,63.5,31.8,25.4,242.0,44,4.685e-04,60266.47092237527
T250-75-244,63.5,31.8,25.4,242.0,45,4.901e-04,60266.47092237527
T250-75-245,63.5,31.8,25.4,242.0,46,5.121e-04,60266.47092237527
T250-75-246,63.5,31.8,25.4,242.0,47,5.346e-04,60266.47092237527
