Combination,Capacitance,Total Volume
"series:[0.00022, 0.00033, 0.00068, 0.00082]",9.741e-05,4.866e-06
"series:[0.00022, 0.00033, 0.00068, 0.001]",9.9539e-05,5.357e-06
"series:[0.00022, 0.00033, 0.00082, 0.001]",0.00010209,5.75e-06
"series:[0.00022, 0.00047, 0.00068, 0.00082]",0.000106801,5.118e-06
"series:[0.00022, 0.00047, 0.00068, 0.001]",0.000109365,5.609e-06
"series:[0.00022, 0.00047, 0.00082, 0.001]",0.000112453,6.001e-06
"series:[0.00022, 0.00068, 0.00082, 0.001]",0.000121425,6.567e-06
"series:[0.00033, 0.00047, 0.00068, 0.00082]",0.00012742,5.294e-06
"series:[0.00033, 0.00047, 0.00068, 0.001]",0.000131086,5.784e-06
"series:[0.00033, 0.00047, 0.00082, 0.001]",0.000135548,6.177e-06
"series:[0.00033, 0.00068, 0.00082, 0.001]",0.000148801,6.743e-06
"series:[0.00047, 0.00068, 0.00082, 0.001]",0.000171887,6.994e-06
"series:[4.7e-05, 0.0001, 0.00022, 0.00033, 0.00047]",2.4402e-05,2.896e-06
"series:[4.7e-05, 0.0001, 0.00022, 0.00033, 0.00068]",2.48e-05,3.462e-06
"series:[4.7e-05, 0.0001, 0.00022, 0.00033, 0.00082]",2.4955e-05,3.854e-06
"series:[4.7e-05, 0.0001, 0.00022, 0.00033, 0.001]",2.5093e-05,4.345e-06
"series:[4.7e-05, 0.0001, 0.00022, 0.00047, 0.00068]",2.5368e-05,3.713e-06
"series:[4.7e-05, 0.0001, 0.00022, 0.00047, 0.00082]",2.553e-05,4.106e-06
"series:[4.7e-05, 0.0001, 0.00022, 0.00047, 0.001]",2.5674e-05,4.597e-06
"series:[4.7e-05, 0.0001, 0.00022, 0.00068, 0.00082]",2.5966e-05,4.671e-06
"series:[4.7e-05, 0.0001, 0.00022, 0.00068, 0.001]",2.6115e-05,5.162e-06
"series:[4.7e-05, 0.0001, 0.00022, 0.00082, 0.001]",2.6287e-05,5.555e-06
"series:[4.7e-05, 0.0001, 0.00033, 0.00047, 0.00068]",2.6382e-05,3.889e-06
"series:[4.7e-05, 0.0001, 0.00033, 0.00047, 0.00082]",2.6558e-05,4.282e-06
"series:[4.7e-05, 0.0001, 0.00033, 0.00047, 0.001]",2.6713e-05,4.773e-06
"series:[4.7e-05, 0.0001, 0.00033, 0.00068, 0.00082]",2.7029e-05,4.847e-06
"series:[4.7e-05, 0.0001, 0.00033, 0.00068, 0.001]",2.7191e-05,5.338e-06
"series:[4.7e-05, 0.0001, 0.00033, 0.00082, 0.001]",2.7377e-05,5.731e-06
"series:[4.7e-05, 0.0001, 0.00047, 0.00068, 0.00082]",2.7705e-05,5.098e-06
"series:[4.7e-05, 0.0001, 0.00047, 0.00068, 0.001]",2.7875e-05,5.589e-06
"series:[4.7e-05, 0.0001, 0.00047, 0.00082, 0.001]",2.8071e-05,5.982e-06
"series:[4.7e-05, 0.0001, 0.00068, 0.00082, 0.001]",2.8599e-05,6.548e-06
"series:[4.7e-05, 0.00022, 0.00033, 0.00047, 0.00068]",3.0816e-05,4.124e-06
"series:[4.7e-05, 0.00022, 0.00033, 0.00047, 0.00082]",3.1056e-05,4.517e-06
"series:[4.7e-05, 0.00022, 0.00033, 0.00047, 0.001]",3.127e-05,5.008e-06
"series:[4.7e-05, 0.00022, 0.00033, 0.00068, 0.00082]",3.1703e-05,5.082e-06
"series:[4.7e-05, 0.00022, 0.00033, 0.00068, 0.001]",3.1925e-05,5.573e-06
"series:[4.7e-05, 0.00022, 0.00033, 0.00082, 0.001]",3.2183e-05,5.966e-06
"series:[4.7e-05, 0.00022, 0.00047, 0.00068, 0.00082]",3.2637e-05,5.334e-06
"series:[4.7e-05, 0.00022, 0.00047, 0.00068, 0.001]",3.2873e-05,5.825e-06
"series:[4.7e-05, 0.00022, 0.00047, 0.00082, 0.001]",3.3146e-05,6.217e-06
"series:[4.7e-05, 0.00022, 0.00068, 0.00082, 0.001]",3.3884e-05,6.783e-06
"series:[4.7e-05, 0.00033, 0.00047, 0.00068, 0.00082]",3.4335e-05,5.51e-06
"series:[4.7e-05, 0.00033, 0.00047, 0.00068, 0.001]",3.4596e-05,6e-06
"series:[4.7e-05, 0.00033, 0.00047, 0.00082, 0.001]",3.4899e-05,6.393e-06
"series:[4.7e-05, 0.00033, 0.00068, 0.00082, 0.001]",3.5718e-05,6.959e-06
"series:[4.7e-05, 0.00047, 0.00068, 0.00082, 0.001]",3.6908e-05,7.21e-06
"series:[0.0001, 0.00022, 0.00033, 0.00047, 0.00068]",4.7228e-05,4.251e-06
"series:[0.0001, 0.00022, 0.00033, 0.00047, 0.00082]",4.7794e-05,4.644e-06
"series:[0.0001, 0.00022, 0.00033, 0.00047, 0.001]",4.8301e-05,5.135e-06
"series:[0.0001, 0.00022, 0.00033, 0.00068, 0.00082]",4.9344e-05,5.209e-06
"series:[0.0001, 0.00022, 0.00033, 0.00068, 0.001]",4.9884e-05,5.7e-06
"series:[0.0001, 0.00022, 0.00033, 0.00082, 0.001]",5.0517e-05,6.093e-06
"series:[0.0001, 0.00022, 0.00047, 0.00068, 0.00082]",5.1644e-05,5.461e-06
"series:[0.0001, 0.00022, 0.00047, 0.00068, 0.001]",5.2236e-05,5.951e-06
"series:[0.0001, 0.00022, 0.00047, 0.00082, 0.001]",5.2931e-05,6.344e-06
"series:[0.0001, 0.00022, 0.00068, 0.00082, 0.001]",5.4838e-05,6.91e-06
"series:[0.0001, 0.00033, 0.00047, 0.00068, 0.00082]",5.6028e-05,5.636e-06
"series:[0.0001, 0.00033, 0.00047, 0.00068, 0.001]",5.6726e-05,6.127e-06
"series:[0.0001, 0.00033, 0.00047, 0.00082, 0.001]",5.7546e-05,6.52e-06
"series:[0.0001, 0.00033, 0.00068, 0.00082, 0.001]",5.9807e-05,7.086e-06
"series:[0.0001, 0.00047, 0.00068, 0.00082, 0.001]",6.322e-05,7.337e-06
"series:[0.00022, 0.00033, 0.00047, 0.00068, 0.00082]",8.0687e-05,5.872e-06
"series:[0.00022, 0.00033, 0.00047, 0.00068, 0.001]",8.2142e-05,6.363e-06
"series:[0.00022, 0.00033, 0.00047, 0.00082, 0.001]",8.3872e-05,6.755e-06
"series:[0.00022, 0.00033, 0.00068, 0.00082, 0.001]",8.8764e-05,7.321e-06
"series:[0.00022, 0.00047, 0.00068, 0.00082, 0.001]",9.6495e-05,7.572e-06
"series:[0.00033, 0.00047, 0.00068, 0.00082, 0.001]",0.000113019,7.748e-06
